lat,lon,depth,chlor,temp,-50,-100,-150,-200,-250,-300,-350,-400,-450,-500
82.5,-61.5,-94.49,0.1087,0.19,0.13044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82.5,-60.5,-188.98,0.1544,0.48,0.18528,0.27792,0.13896,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82.5,-59.5,-220.47,0.0765,0.48,0.09179999999999999,0.1377,0.06885,0.015300000000000001,0.0,0.0,0.0,0.0,0.0,0.0
82.5,-57.5,-472.44,0.0599,0.62,0.07188,0.10782,0.05391,0.011980000000000001,0.0059900000000000005,0.0029950000000000003,0.002396,0.001797,0.001198,0.0
81.5,-10.5,-125.98,0.085,0.33,0.10200000000000001,0.15300000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81.5,-9.5,-220.47,0.1491,0.62,0.17892,0.26838,0.13419,0.029820000000000003,0.0,0.0,0.0,0.0,0.0,0.0
81.5,-8.5,-976.38,0.1657,0.77,0.19884,0.29825999999999997,0.14912999999999998,0.033139999999999996,0.016569999999999998,0.008284999999999999,0.006627999999999999,0.004971,0.0033139999999999997,0.0016569999999999998
81.5,55.5,-377.95,0.1716,-0.69,0.20592,0.30888,0.15444,0.03432,0.01716,0.00858,0.006864,0.0,0.0,0.0
81.5,56.5,-220.47,0.4125,-0.69,0.49499999999999994,0.7424999999999999,0.37124999999999997,0.0825,0.0,0.0,0.0,0.0,0.0,0.0
81.5,59.5,0.0,0.2353,-0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81.5,60.5,-251.97,0.2614,-0.4,0.31368,0.47052000000000005,0.23526000000000002,0.05228000000000001,0.026140000000000004,0.0,0.0,0.0,0.0,0.0
81.5,61.5,-157.48,0.2904,-0.4,0.34847999999999996,0.52272,0.26136,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81.5,62.5,-31.5,0.2707,-0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81.5,63.5,-220.47,0.4125,-0.25,0.49499999999999994,0.7424999999999999,0.37124999999999997,0.0825,0.0,0.0,0.0,0.0,0.0,0.0
81.5,64.5,-346.46,0.7491,-0.69,0.8989199999999999,1.34838,0.67419,0.14982,0.07491,0.037455,0.0,0.0,0.0,0.0
81.5,65.5,-377.95,0.2804,-0.25,0.33647999999999995,0.50472,0.25236,0.05608,0.02804,0.01402,0.011216,0.0,0.0,0.0
